,b_name1,b_name2,Relation
1,Elizabeth Blount,Henry Fitzroy,T
2,Elizabeth Blount,Katherine Parr,F
3,Elizabeth Blount,Edward Seymour,F
4,Elizabeth Blount,Gilbert Tailboys,T
5,Elizabeth Bowes,George Bowes,T
6,Martha Carew,Sir Anthony Denny,T
7,Janet Douglas,Patrick Ruthven,T
8,Richard Goodrich,William May,F
9,James Haddon,Walter Haddon,T
10,Walter Haddon,Owen Oglethorpe,T
11,Walter Haddon,Julins Palmer,T
12,John Cawood,Steven Mierdman,T
13,James Haddon,Steven Mierdman,F
14,John Leland,Edward North,F
15,Arthur Pole,Reginald Pole,T
16,Peter Carew,John Ponet,T
17,William Paget,John Ponet,T
18,John Philpott,John Ponet,T
19,Adrian Poynings,Thomas Poynings,T
20,Simon Renard,Queen Mary,T
21,Thomas Chaloner the elder,Robert Stafford,F
22,Thomas Phaer,Robert Stafford,F
23,Michael Stanhope,Thomas Wroth,F
24,Henry Elston,Stephen Vaughan,F
25,Clement Heigham,Thomas Wentworth,T
26,Nicholas Kervile,John White,F
27,Roger Ascham,Robert Wingfield,T
28,Sir Anthony Denny,Robert Wingfield,F
29,Mary Fitzroy,Robert Wingfield,F
30,Lady Jane Grey,Robert Wingfield,T
31,Henry Norris,Robert Wingfield,F
32,Edward Waldegrave,Robert Wingfield,T
33,Catherine Howard,Anne of Cleves,T
34,John Knox,Mary of Guise,T
35,James Stewart,Mary of Guise,T
36,Matthew Stewart,Mary of Guise,T
